"","date","mean.Solar","mean.Wind","mean.MaxWind","mean.Temp","plant.id","species","treatment","blooming","percent.cover","rich","perennial","X","uniID","abun","H","Simpson","Species","Even"
"1","4.10.2017",0.7625,5.15,9.775,18.35,"184","larrea","open","pre",10,4,"","","4.10.2017 184 open",12,1.31437384300695,0.666666666666667,5,0.816666385731586
"2","4.10.2017",0.7625,5.15,9.775,18.35,"184","larrea","shrub","pre",70,3,"","","4.10.2017 184 shrub",14,1.21538810108361,0.612244897959184,5,0.755163086251319
"3","4.10.2017",0.7625,5.15,9.775,18.35,"189","larrea","open","pre",2,6,"","","4.10.2017 189 open",18,2.32218794280707,0.882716049382716,12,0.934517175124137
"4","4.10.2017",0.7625,5.15,9.775,18.35,"189","larrea","shrub","pre",25,6,"","","4.10.2017 189 shrub",16,1.75410533099929,0.7734375,8,0.843546354076522
"5","4.10.2017",0.7625,5.15,9.775,18.35,"192","larrea","open","pre",15,3,"","","4.10.2017 192 open",21,1.72371357135191,0.789115646258503,7,0.885813547037989
"6","4.10.2017",0.7625,5.15,9.775,18.35,"192","larrea","shrub","pre",40,1,"","","4.10.2017 192 shrub",30,1.95646320382668,0.808888888888889,11,0.815908528625385
"7","4.10.2017",0.7625,5.15,9.775,18.35,"194","larrea","open","pre",3,2,"","","4.10.2017 194 open",13,1.5193826646423,0.733727810650888,6,0.847983610934618
"8","4.10.2017",0.7625,5.15,9.775,18.35,"194","larrea","shrub","pre",40,3,"","","4.10.2017 194 shrub",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"9","4.10.2017",0.7625,5.15,9.775,18.35,"275","larrea","open","pre",2,5,"","","4.10.2017 275 open",0,0,1,0,0
"10","4.10.2017",0.7625,5.15,9.775,18.35,"275","larrea","shrub","pre",20,4,"","","4.10.2017 275 shrub",27,1.79867976666526,0.762688614540466,10,0.781156697373753
"11","4.10.2017",0.7625,5.15,9.775,18.35,"296","larrea","open","pre",3,3,"","","4.10.2017 296 open",24,2.0918448196509,0.822916666666667,12,0.841820283200323
"12","4.10.2017",0.7625,5.15,9.775,18.35,"296","larrea","shrub","pre",15,3,"","","4.10.2017 296 shrub",25,2.04428169995886,0.8256,11,0.852531686078669
"13","4.11.2017",0.61,6.325,11.5375,18.575,"187","larrea","open","pre",2,5,"","","4.11.2017 187 open",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"14","4.11.2017",0.61,6.325,11.5375,18.575,"187","larrea","shrub","pre",20,5,"","","4.11.2017 187 shrub",12,1.31437384300695,0.666666666666667,5,0.816666385731586
