"","uniID","highest.rtu","Quantity"
"1","4.10.2017 184 open","Cicadellidae",3
"2","4.10.2017 184 open","Melyridae",6
"3","4.10.2017 184 open","Mythicomyiidae",6
"4","4.10.2017 184 open","Scaeva/Eupeodes",1
"5","4.10.2017 184 open","Sciaridae",1
"6","4.10.2017 184 open","Usiinae",1
"7","4.10.2017 184 shrub","Anthidium",1
"8","4.10.2017 184 shrub","Chrysomelidae",1
"9","4.10.2017 184 shrub","Cicadellidae",8
"10","4.10.2017 184 shrub","Lasioglossum",1
"11","4.10.2017 184 shrub","Melyridae",2
"12","4.10.2017 184 shrub","Nymph",3
"13","4.10.2017 189 open","Chloropidae",2
"14","4.10.2017 189 open","Chrysididae",2
"15","4.10.2017 189 open","Cicadellidae",1
"16","4.10.2017 189 open","Halictus",1
"17","4.10.2017 189 open","Heleomyzidae",1
"18","4.10.2017 189 open","Lasioglossum",1
"19","4.10.2017 189 open","Melyridae",2
"20","4.10.2017 189 open","Miridae",1
"21","4.10.2017 189 open","Muscidae ",1
"22","4.10.2017 189 open","Mutillidae",1
"23","4.10.2017 189 open","Mythicomyiidae",4
"24","4.10.2017 189 open","Pronotacantha annulata",1
"25","4.10.2017 189 open","Sciaridae",1
"26","4.10.2017 189 open","Usiinae",1
"27","4.10.2017 189 shrub","Cercopidae",1
"28","4.10.2017 189 shrub","Cicadellidae",4
"29","4.10.2017 189 shrub","Heleomyzidae",1
"30","4.10.2017 189 shrub","Melyridae",2
"31","4.10.2017 189 shrub","Miridae",1
"32","4.10.2017 189 shrub","Miscophus",1
"33","4.10.2017 189 shrub","Mythicomyiidae",6
"34","4.10.2017 189 shrub","Nymph ",1
"35","4.10.2017 189 shrub","Pentamoidae",1
"36","4.10.2017 192 open","Aphididae",1
"37","4.10.2017 192 open","Cicadellidae",7
"38","4.10.2017 192 open","Lasioglossum",2
"39","4.10.2017 192 open","Melyridae",1
"40","4.10.2017 192 open","Miridae",2
"41","4.10.2017 192 open","Miscophus",1
"42","4.10.2017 192 open","Mythicomyiidae",5
"43","4.10.2017 192 open","Nymph",3
"44","4.10.2017 192 shrub","Asilidae",1
"45","4.10.2017 192 shrub","Chrysomelidae",1
